tahun,jenjang,persen
2006,sd,96.48181818
2007,sd,96.77242424
2008,sd,97.03666667
2009,sd,97.12333333
2010,sd,97.37424242
2011,sd,96.9069697
2012,sd,97.38484848
2006,smp,84.72848485
2007,smp,85.37151515
2008,smp,85.53181818
2009,smp,85.99060606
2010,smp,86.81333333
2011,smp,87.75787879
2012,smp,89.19454545
2006,sma,55.95636364
2007,sma,57.3269697
2008,sma,57.44212121
2009,sma,56.87212121
2010,sma,57.70545455
2011,sma,60.33
2012,sma,62.82181818
2006,kuliah,12.49666667
2007,kuliah,14.39121212
2008,kuliah,14.73939394
2009,kuliah,14.01727273
2010,kuliah,15.20363636
2011,kuliah,16.29636364
2012,kuliah,18.16484848
